id,school_dbn,school_name,year,regents_exam,total_tested,mean_score,percent_65_or_above
289,01M509,Marta Valle High School,2019,Common Core Geometry,12,48.0,16.666666
290,01M509,Marta Valle High School,2019,Global History and Geography,46,58.934784,39.130436
291,01M509,Marta Valle High School,2019,Living Environment,45,65.04444,60.0
292,01M509,Marta Valle High School,2019,Chemistry,11,49.636364,18.181818
293,01M509,Marta Valle High School,2019,US History and Government,27,66.77778,62.962963
294,01M509,Marta Valle High School,2020,Common Core Algebra,22,55.363636,18.181818
295,01M509,Marta Valle High School,2020,Common Core English,8,67.75,75.0
296,01M509,Marta Valle High School,2020,Global History and Geography,35,53.82857,22.857143
297,01M509,Marta Valle High School,2020,Living Environment,14,45.5,0.0
298,01M509,Marta Valle High School,2020,US History and Government,15,46.2,20.0
299,01M515,Lower East Side Preparatory High School,2015,Algebra 2 (Trigonometry),60,85.4,93.333336
300,01M515,Lower East Side Preparatory High School,2015,Chinese,45,94.26667,100.0
301,01M515,Lower East Side Preparatory High School,2015,Common Core Algebra,130,67.3,66.92308
302,01M515,Lower East Side Preparatory High School,2015,Common Core English,141,67.22695,65.24823
303,01M515,Lower East Side Preparatory High School,2015,Common Core Geometry,72,70.986115,66.666664
304,01M515,Lower East Side Preparatory High School,2015,English,139,67.38849,69.78417
305,01M515,Lower East Side Preparatory High School,2015,Geometry,111,80.5946,94.5946
306,01M515,Lower East Side Preparatory High School,2015,Global History and Geography,197,77.14721,81.21828
307,01M515,Lower East Side Preparatory High School,2015,Integrated Algebra,98,76.94898,85.71429
308,01M515,Lower East Side Preparatory High School,2015,Living Environment,146,80.0411,93.15069
309,01M515,Lower East Side Preparatory High School,2015,Chemistry,9,77.666664,100.0
310,01M515,Lower East Side Preparatory High School,2015,Earth Science,100,74.17,71.0
311,01M515,Lower East Side Preparatory High School,2015,Spanish,18,97.27778,100.0
312,01M515,Lower East Side Preparatory High School,2015,US History and Government,171,80.77193,91.22807
313,01M515,Lower East Side Preparatory High School,2016,Algebra 2 (Trigonometry),75,77.746666,84.0
314,01M515,Lower East Side Preparatory High School,2016,Chinese,51,91.13725,96.07843
315,01M515,Lower East Side Preparatory High School,2016,Common Core Algebra,163,74.57669,85.88957
316,01M515,Lower East Side Preparatory High School,2016,Common Core Algebra 2,51,70.21568,74.5098
317,01M515,Lower East Side Preparatory High School,2016,Common Core English,175,70.17714,80.0
318,01M515,Lower East Side Preparatory High School,2016,Common Core Geometry,95,74.04211,76.8421
319,01M515,Lower East Side Preparatory High School,2016,Geometry,29,77.55173,82.75862
320,01M515,Lower East Side Preparatory High School,2016,Global History and Geography,163,75.28221,81.59509
321,01M515,Lower East Side Preparatory High School,2016,Living Environment,129,78.434105,86.04651
322,01M515,Lower East Side Preparatory High School,2016,Earth Science,101,81.0297,89.10891
323,01M515,Lower East Side Preparatory High School,2016,Spanish,16,90.0,100.0
324,01M515,Lower East Side Preparatory High School,2016,US History and Government,157,79.12102,85.98726
325,01M515,Lower East Side Preparatory High School,2017,Algebra 2 (Trigonometry),18,78.111115,83.333336
