schools,id
12X129: M.S. 129 Academy for Independent Learning and Lead,388
12X190: E.S.M.T- I.S. 190,389
12X211: P.S. 211,390
12X214: P.S. 214,391
12X217: School of Performing Arts,392
12X242: Mott Hall V,393
12X248: The Metropolitan High School,394
12X251: Explorations Academy H.S.,395
12X267: Bronx Latin,396
12X271: East Bronx Academy for the Future,397
12X273: Frederick Douglass Academy V. Middle School,398
12X286: Fannie Lou Hamer Middle School,399
12X316: Kappa III,400
"12X318: I.S. 318 Math, Science and Technology Through Arts",401
12X321: Crotona Academy High School,402
12X372: Urban Assembly School for Wildlife Conservation,403
12X383: Emolior Academy,404
12X388: Pan American International High School at Monroe,405
12X428: Learning To Work YABC At Monroe Academy,406
12X446: Arturo A. Schomburg Satellite Academy Bronx,407
12X478: The Cinema School,408
12X479: Bronx Career and College Preparatory High School,409
12X480: Bronx Regional High School,410
12X511: Bronx Envision Academy,411
12X521: The Metropolitan Soundview High School,412
12X550: High School of World Cultures,413
12X682: Fannie Lou Hamer Freedom High School,414
12X684: Wings Academy,415
12X692: Monroe Academy for Visual Arts and Design,416
13K008: The Emily Warren Roebling School,417
13K113: M.S. 113 Ronald Edmonds Learning Center,418
13K265: Dr. Susan S. McKinney Secondary School of the Arts,419
13K266: M.S. K266 - Park Place Community Middle School,420
13K282: P.S. 282 Park Slope,421
13K301: Restoration Academy,422
13K313: Dock Street School for STEAM Studies,423
13K350: Urban Assembly School of Music and Art,424
13K351: The Urban Assembly Unison School,425
13K412: Brooklyn Community Arts and Media High School (BCAM),426
"13K419: Science Skills Center High School for Science, Technology and the Creative Arts",427
13K430: Brooklyn Technical High School,428
13K439: Brooklyn International High School,429
13K483: The Urban Assembly School for Law and Justice,430
13K492: Academy of Arts and Letters,431
13K499: ACORN Community High School,432
13K527: Urban Assembly Institute of Math and Science for Young Women,433
13K553: Brooklyn Academy High School,434
13K575: Bedford Stuyvesant Preparatory High School,435
13K594: Gotham Professional Arts Academy,436
13K595: Bedford Academy High School,437
13K605: George Westinghouse Career and Technical Education,438
13K616: Brooklyn High School for Leadership and Community,439
13K657: Downtown Brooklyn YABC,440
13K670: Benjamin Banneker Academy,441
"13K674: City Polytechnic High School of Engineering, Architecture and Technology",442
13K691: Fort Greene Preparatory Academy,443
13K915: Bridges: A School for Exploration and Equity,444
14K050: J.H.S. 050 John D. Wells,445
14K071: Juan Morel Campos Secondary School,446
14K084: P.S. 084 Jose De Diego,447
14K126: M.S. 126 John Ericsson,448
14K157: P.S. | I.S. 157 The Benjamin Franklin Health and Science Academy,449
14K318: I.S. 318 Eugenio Maria De Hostos,450
14K449: The Brooklyn Latin School,451
14K454: The Williamsburg High School of Art and Technology,452
14K474: PROGRESS High School for Professional Careers,453
14K477: East Williamsburg Scholars Academy,454
"14K478: The High School for Enterprise, Business and Technology",455
14K488: Brooklyn Preparatory High School,456
14K558: Williamsburg High School for Architecture and Design,457
14K561: Williamsburg Preparatory School,458
14K577: Conselyea Preparatory School,459
14K582: M.S. 582,460
14K586: Lyons Community School,461
14K610: A-Tech High School,462
14K614: Young Women's Leadership School of Brooklyn,463
14K632: Frances Perkins Academy,464
14K685: El Puente Academy for Peace and Justice,465
14K923: Automotive High School YABC,466
15K051: M.S. 51 William Alexander,467
15K088: J.H.S. 088 Peter Rouget,468
15K136: I.S. 136 Charles O. Dewey,469
15K423: Brooklyn Frontiers High School,470
15K429: Digital Arts and Cinema Technology High School,471
15K442: M.S. 442 Carroll Gardens School for Innovation,472
15K443: New Voices School of Academic and Creative Arts,473
15K447: The Math and Science Exploratory School,474
15K448: Brooklyn Collaborative Studies,475
15K462: John Jay School for Law,476
15K463: Cyberarts Studio Academy,477
15K464: Park Slope Collegiate,478
15K497: The Boerum Hill School for International Studies,479
15K519: Cobble Hill School of American Studies,480
15K529: West Brooklyn Community High School,481
15K592: Khalil Gibran International Academy,482
15K656: Brooklyn High School of the Arts,483
15K667: Sunset Park High School,484
15K684: Millennium Brooklyn HS,485
15K698: South Brooklyn Community High School,486
15K821: Sunset Park Prep,487
15K839: M.S. 839,488
16K035: M.S. 035 Stephen Decatur,489
16K057: Whitelaw Reid Academy of Arts and Business,490
"16K267: M.S. 267 Math, Science and Technology",491
16K308: P.S. 308 Clara Cardwell,492
16K393: Frederick Douglass Academy IV Secondary School,493
16K455: Boys and Girls High School,494
16K498: Brooklyn High School for Law and Technology,495
16K594: Gotham Professional Arts Academy,496
16K669: Research and Service High School,497
16K681: Madiba Prep Middle School,498
16K688: The Brooklyn Academy of Global Finance,499
16K765: Nelson Mandela High School,500
16K898: The Brooklyn Green School,501
16K959: Boys and Girls YABC,502
17K002: Parkside Preparatory Academy,503
17K061: M.S. 061 Dr. Gladstone H. Atwell,504
17K122: Pathways in Technology Early College High School (P-Tech),505
17K138: P.S. 138 Brooklyn,506
17K181: P.S. 181 Brooklyn,507
17K189: P.S. 189 The Bilingual Center,508
17K246: M.S. 246 Walt Whitman,509
17K340: I.S. 340,510
17K352: Ebbets Field Middle School,511
17K354: The School of Integrated Learning,512
17K382: Academy for College Preparation and Career Explora,513
17K394: M.S. K394,514
17K408: Academy of Hospitality and Tourism,515
17K467: Erasmus YABC,516
17K484: Ronald Edmonds Learning Center II,517
17K489: W.E.B. Dubois Academic High School,518
17K524: International High School at Prospect Heights,519
17K528: The High School for Global Citizenship,520
17K531: The School for Human Rights,521
17K533: School for Democracy and Leadership,522
17K537: High School for Youth and Community Development at Erasmus,523
17K539: High School for Service and Learning at Erasmus,524
"17K543: Science, Technology and Research Early College High School at Erasmus",525
17K546: High School for Public Service: Heroes of Tomorrow,526
17K547: Brooklyn Academy of Science and the Environment,527
17K548: Brooklyn School for Music and Theatre,528
17K568: Brownsville Academy High School,529
17K590: Medgar Evers College Preparatory School,530
17K600: Clara Barton High School,531
17K646: Aspirations Diploma Plus High School,532
17K722: New Heights Middle School,533
17K745: Brooklyn Institute for Liberal Arts,534
17K751: Academy for Health Careers,535
18K066: P.S. 66,536
18K068: I.S. 068 Isaac Bildersee,537
18K211: I.S. 211 John Wilson,538
18K235: P.S. 235 Janice Marie Knight School,539
18K285: I.S. 285 Meyer Levin,540
18K366: The Science And Medicine Middle School,541
18K563: It Takes a Village Academy,542
18K566: Brooklyn Community High School for Excellence and Equity,543
18K567: Brooklyn Theatre Arts High School,544
18K569: Kurt Hahn Expeditionary Learning School,545
18K576: Victory Collegiate High School,546
18K578: Brooklyn Bridge Academy,547
"18K581: The Middle School of Media, Law and Fine Arts",548
18K588: Middle School for Art and Philosophy,549
18K589: Arts and Media Preparatory Academy,550
18K598: Middle School of Marketing and Legal Studies,551
18K617: High School for Innovation in Advertising and Media,552
18K629: Cultural Academy for the Arts and Sciences,553
18K633: High School for Medical Professions,554
18K635: Olympus Academy,555
18K637: Academy for Conservation and the Environment,556
18K642: Urban Action Academy,557
18K673: East Brooklyn Community High School,558
18K763: Brooklyn Science and Engineering Academy,559
18K922: South Shore Educational Complex YABC,560
19K089: P.S. 089 Cypress Hills,561
19K171: I.S. 171 Abraham Lincoln,562
19K218: J.H.S. 218 James P. Sinnott,563
19K292: J.H.S. 292 Margaret S. Douglas,564
19K364: I.S. 364 Gateway,565
19K404: Academy for Young Writers,566
19K409: East New York Family Academy,567
19K422: Spring Creek Community School,568
19K431: Thomas Jefferson YABC,569
19K452: Frederick Douglass Academy VIII Middle School,570
19K501: Franklin K. Lane Campus YABC,571
19K502: FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,572
19K504: High School for Civil Rights,573
19K507: Performing Arts and Technology High School,574
19K510: World Academy for Total Community Health High School,575
19K583: Multicultural High School,576
19K615: Transit Tech Career and Technical Education High School,577
19K618: Academy of Innovative Technology,578
19K639: Brooklyn Lab School,579
19K654: Van Siclen Community Middle School,580
19K659: Cypress Hills Collegiate Preparatory School,581
19K660: W. H. Maxwell Career and Technical Education High School,582
19K661: Vista Academy,583
19K662: Liberty Avenue Middle School,584
19K678: East New York Middle School of Excellence,585
19K683: School for Classics High School,586
19K760: Highland Park Community School,587
19K764: The Urban Assembly School for Collaborative Health,588
19K907: Legacy School of the Arts,589
19K953: The East New York Arts and Civics High School,590
20K030: P.S. | I.S. 30 Mary White Ovington,591
20K062: J.H.S. 062 Ditmas,592
20K104: P.S. | I.S. 104 The Fort Hamilton School,593
20K163: P.S. 163 Bath Beach,594
20K180: The SEEALL Academy,595
20K187: I.S. 187 The Christa McAuliffe School,596
20K192: P.S. 192 - The Magnet School for Math and Science,597
20K201: The Madeleine Brennan School,598
20K220: J.H.S. 220 John J. Pershing,599
20K223: J.H.S. 223 The Montauk,600
20K227: J.H.S. 227 Edward B. Shallow,601
20K229: P.S. 229 Dyker,602
20K259: J.H.S. 259 William McKinley,603
20K445: New Utrecht High School,604
20K485: High School of Telecommunication Arts and Technology,605
20K490: Fort Hamilton High School,606
20K505: Franklin Delano Roosevelt High School,607
20K609: Urban Assembly School for Leadership and Empowerment,608
20K658: Franklin Delano Roosevelt YABC,609
20K686: Brooklyn School of Inquiry,610
20K936: M.S. 936 Arts Off 3rd,611
21K095: P.S. 095 The Gravesend,612
21K096: I.S. 096 Seth Low,613
21K098: I.S. 98 Bay Academy,614
21K099: P.S. 099 Isaac Asimov,615
21K121: P.S. 121 Nelson A. Rockefeller,616
21K209: P.S. 209 Margaret Mead,617
21K225: P.S. K225 - The Eileen E. Zaglin,618
21K226: P.S. 226 Alfred De B. Mason,619
21K228: I.S. 228 David A. Boody,620
21K238: P.S. 238 Anne Sullivan,621
21K239: I.S. 239 Mark Twain Intermediate School for the Gifted and Talented,622
21K281: I.S. 281 Joseph B Cavallaro,623
21K303: I.S. 303 Herbert S. Eisenberg,624
21K337: International High School at Lafayette,625
21K344: Rachel Carson High School for Coastal Studies,626
21K348: High School of Sports Management,627
21K410: Abraham Lincoln High School,628
21K411: Abraham Lincoln YABC,629
21K468: Kingsborough Early College School,630
21K525: Edward R. Murrow High School,631
21K540: John Dewey High School,632
21K559: Life Academy High School for Film and Music,633
21K572: Leaders High School,634
21K620: William E. Grady Career and Technical Education High School,635
21K690: Brooklyn Studio Secondary School,636
21K728: Liberation Diploma Plus,637
22K014: J.H.S. 014 Shell Bank,638
22K078: J.H.S. 078 Roy H. Mann,639
22K109: P.S. 109,640
22K206: P.S. 206 Joseph F Lamb,641
