borough,school_dbn,school_name,year,category,regents_exam,total_tested,mean_score,percent_65_or_above,id
Bronx,07X379,Jill Chaifetz Transfer High School,2017,SWD,Living Environment,16,49.5625,12.5,185
Bronx,07X379,Jill Chaifetz Transfer High School,2017,Non-SWD,US History and Government,43,64.325584,53.488373,186
Bronx,07X379,Jill Chaifetz Transfer High School,2017,SWD,US History and Government,25,58.08,40.0,187
Bronx,07X379,Jill Chaifetz Transfer High School,2018,Non-SWD,Common Core Algebra,34,60.64706,47.058823,188
Bronx,07X379,Jill Chaifetz Transfer High School,2018,SWD,Common Core Algebra,19,54.31579,15.789474,189
Bronx,07X379,Jill Chaifetz Transfer High School,2018,Non-SWD,Common Core English,41,60.707317,60.97561,190
Bronx,07X379,Jill Chaifetz Transfer High School,2018,SWD,Common Core English,13,53.153847,30.76923,191
Bronx,07X379,Jill Chaifetz Transfer High School,2018,Non-SWD,Global History and Geography,47,59.06383,36.17021,192
Bronx,07X379,Jill Chaifetz Transfer High School,2018,SWD,Global History and Geography,12,51.666668,8.333333,193
Bronx,07X379,Jill Chaifetz Transfer High School,2018,Non-SWD,Living Environment,26,61.076923,46.153847,194
Bronx,07X379,Jill Chaifetz Transfer High School,2018,SWD,Living Environment,14,54.785713,14.285714,195
Bronx,07X379,Jill Chaifetz Transfer High School,2018,Non-SWD,US History and Government,35,61.82857,54.285713,196
Bronx,07X379,Jill Chaifetz Transfer High School,2018,SWD,US History and Government,13,59.23077,23.076923,197
Bronx,07X379,Jill Chaifetz Transfer High School,2019,Non-SWD,Common Core Algebra,32,66.09375,62.5,198
Bronx,07X379,Jill Chaifetz Transfer High School,2019,SWD,Common Core Algebra,8,58.75,25.0,199
Bronx,07X379,Jill Chaifetz Transfer High School,2019,Non-SWD,Common Core English,39,62.641026,58.974358,200
Bronx,07X379,Jill Chaifetz Transfer High School,2019,SWD,Common Core English,15,60.266666,33.333332,201
Bronx,07X379,Jill Chaifetz Transfer High School,2019,Non-SWD,Global History and Geography,52,59.903847,44.23077,202
Bronx,07X379,Jill Chaifetz Transfer High School,2019,SWD,Global History and Geography,9,57.0,22.222221,203
Bronx,07X379,Jill Chaifetz Transfer High School,2019,Non-SWD,US History and Government,35,60.685715,48.57143,204
Bronx,07X379,Jill Chaifetz Transfer High School,2019,SWD,US History and Government,11,57.545456,36.363636,205
Bronx,07X379,Jill Chaifetz Transfer High School,2022,Non-SWD,Common Core English,17,62.411766,52.941177,206
Bronx,07X379,Jill Chaifetz Transfer High School,2022,SWD,Common Core English,12,61.166668,50.0,207
Bronx,07X379,Jill Chaifetz Transfer High School,2023,Non-SWD,Common Core Algebra,11,52.909092,27.272728,208
Bronx,07X379,Jill Chaifetz Transfer High School,2023,SWD,Common Core Algebra,8,56.125,0.0,209
Bronx,07X379,Jill Chaifetz Transfer High School,2023,Non-SWD,Common Core English,24,65.0,58.333332,210
Bronx,07X379,Jill Chaifetz Transfer High School,2023,SWD,Common Core English,23,63.0,52.173912,211
Bronx,07X379,Jill Chaifetz Transfer High School,2023,Non-SWD,Global History and Geography,25,60.6,44.0,212
Bronx,07X379,Jill Chaifetz Transfer High School,2023,SWD,Global History and Geography,15,57.733334,20.0,213
Bronx,07X379,Jill Chaifetz Transfer High School,2023,Non-SWD,Living Environment,13,57.46154,15.384615,214
Bronx,07X379,Jill Chaifetz Transfer High School,2023,SWD,Living Environment,9,55.444443,22.222221,215
Bronx,07X381,Bronx Haven High School,2017,Non-SWD,Common Core English,33,67.30303,57.575756,216
Bronx,07X381,Bronx Haven High School,2017,SWD,Common Core English,13,52.307693,30.76923,217
Bronx,07X381,Bronx Haven High School,2017,Non-SWD,Global History and Geography,52,56.615383,23.076923,218
Bronx,07X381,Bronx Haven High School,2017,SWD,Global History and Geography,14,49.92857,0.0,219
Bronx,07X381,Bronx Haven High School,2017,Non-SWD,Living Environment,37,61.567566,40.54054,220
Bronx,07X381,Bronx Haven High School,2017,SWD,Living Environment,9,57.333332,11.111111,221
Bronx,07X381,Bronx Haven High School,2017,Non-SWD,US History and Government,41,64.756096,56.09756,222
Bronx,07X381,Bronx Haven High School,2017,SWD,US History and Government,10,59.9,40.0,223
Bronx,07X381,Bronx Haven High School,2018,Non-SWD,Common Core English,37,57.243244,48.648647,224
Bronx,07X381,Bronx Haven High School,2018,SWD,Common Core English,15,46.133335,26.666666,225
Bronx,07X381,Bronx Haven High School,2018,Non-SWD,Global History and Geography,39,59.94872,35.897434,226
Bronx,07X381,Bronx Haven High School,2018,SWD,Global History and Geography,14,48.214287,14.285714,227
Bronx,07X381,Bronx Haven High School,2018,Non-SWD,Living Environment,30,59.066666,23.333334,228
Bronx,07X381,Bronx Haven High School,2018,SWD,Living Environment,10,57.4,10.0,229
Bronx,07X381,Bronx Haven High School,2018,Non-SWD,US History and Government,33,59.81818,36.363636,230
Bronx,07X381,Bronx Haven High School,2018,SWD,US History and Government,10,59.8,20.0,231
Bronx,07X381,Bronx Haven High School,2019,Non-SWD,Common Core Algebra,23,61.304348,34.782608,232
Bronx,07X381,Bronx Haven High School,2019,SWD,Common Core Algebra,9,50.666668,11.111111,233
Bronx,07X381,Bronx Haven High School,2019,Non-SWD,Common Core English,36,61.61111,58.333332,234
Bronx,07X381,Bronx Haven High School,2019,SWD,Common Core English,16,56.25,50.0,235
Bronx,07X381,Bronx Haven High School,2019,Non-SWD,Living Environment,22,59.590908,36.363636,236
Bronx,07X381,Bronx Haven High School,2019,SWD,Living Environment,12,52.25,16.666666,237
Bronx,07X381,Bronx Haven High School,2019,Non-SWD,US History and Government,40,57.05,27.5,238
Bronx,07X381,Bronx Haven High School,2019,SWD,US History and Government,10,52.5,10.0,239
