category,year,regents_exam,median_mean_score,median_percent_65_or_above,id
Staten Island,2022,Earth Science,53.244095,31.06796,268
Staten Island,2022,French,74.9798,80.55556,269
Staten Island,2022,Global History and Geography,71.48,78.08219,270
Staten Island,2022,Italian,71.960846,73.492065,271
Staten Island,2022,Living Environment,71.46374,78.947365,272
Staten Island,2022,Physics,53.21248,28.729603,273
Staten Island,2022,Spanish,76.45679,82.71605,274
Bronx,2023,Chemistry,51.93651,14.285714,275
Bronx,2023,Chinese,88.69903,99.02913,276
Bronx,2023,Common Core Algebra,63.463234,54.545456,277
Bronx,2023,Common Core Algebra 2,51.730766,18.874645,278
Bronx,2023,Common Core English,66.87,62.637363,279
Bronx,2023,Common Core Geometry,51.551605,15.589617,280
Bronx,2023,Earth Science,55.93651,30.06993,281
Bronx,2023,French,75.166664,66.666664,282
Bronx,2023,Global History and Geography,64.72987,55.960052,283
Bronx,2023,Italian,82.14286,85.71429,284
Bronx,2023,Living Environment,62.31847,48.33313,285
Bronx,2023,Physics,46.333332,15.0,286
Bronx,2023,Spanish,84.60667,93.75,287
Bronx,2023,US History and Government,66.44464,60.7493,288
Brooklyn,2023,Chemistry,51.78473,17.083332,289
Brooklyn,2023,Chinese,89.18638,98.56631,290
Brooklyn,2023,Common Core Algebra,65.59854,60.0,291
Brooklyn,2023,Common Core Algebra 2,52.762787,24.55259,292
Brooklyn,2023,Common Core English,66.44444,62.711864,293
Brooklyn,2023,Common Core Geometry,51.852676,18.227108,294
Brooklyn,2023,Earth Science,60.459076,44.142857,295
Brooklyn,2023,French,84.56647,95.54112,296
Brooklyn,2023,Global History and Geography,64.04,53.608246,297
Brooklyn,2023,Italian,75.946236,81.2276,298
Brooklyn,2023,Living Environment,64.132355,53.76344,299
Brooklyn,2023,Physics,51.00833,27.248676,300
Brooklyn,2023,Spanish,81.0,88.957054,301
Brooklyn,2023,US History and Government,65.23158,57.723576,302
Manhattan,2023,Chemistry,58.51351,30.508474,303
Manhattan,2023,Chinese,89.1215,96.36364,304
Manhattan,2023,Common Core Algebra,64.82149,56.984276,305
Manhattan,2023,Common Core Algebra 2,55.30357,26.086956,306
Manhattan,2023,Common Core English,72.894165,75.887344,307
Manhattan,2023,Common Core Geometry,56.23077,29.411764,308
Manhattan,2023,Earth Science,62.4058,48.35533,309
Manhattan,2023,French,84.57143,96.15385,310
Manhattan,2023,Global History and Geography,68.30653,66.666664,311
Manhattan,2023,Italian,73.666664,88.888885,312
Manhattan,2023,Living Environment,64.76599,56.574074,313
Manhattan,2023,Physics,52.644447,28.240093,314
Manhattan,2023,Spanish,86.61905,97.36842,315
Manhattan,2023,US History and Government,66.38824,64.28571,316
Queens,2023,Chemistry,59.595634,34.676113,317
Queens,2023,Chinese,81.816666,86.60715,318
Queens,2023,Common Core Algebra,68.59918,68.878784,319
Queens,2023,Common Core Algebra 2,56.89803,38.77504,320
Queens,2023,Common Core English,72.46645,74.45652,321
Queens,2023,Common Core Geometry,56.50944,32.119843,322
Queens,2023,Earth Science,64.60004,51.653908,323
Queens,2023,French,79.0,89.655174,324
Queens,2023,Global History and Geography,71.56952,74.87864,325
Queens,2023,Italian,77.3125,81.25,326
Queens,2023,Living Environment,68.75,64.59731,327
Queens,2023,Physics,53.392044,30.113636,328
Queens,2023,Spanish,82.44097,90.3125,329
Queens,2023,US History and Government,70.20067,74.3116,330
Staten Island,2023,Chemistry,61.173332,44.0,331
Staten Island,2023,Chinese,66.48718,51.28205,332
Staten Island,2023,Common Core Algebra,67.98876,67.41573,333
Staten Island,2023,Common Core Algebra 2,60.839355,48.007576,334
Staten Island,2023,Common Core English,76.516266,85.152115,335
Staten Island,2023,Common Core Geometry,55.969635,29.496403,336
Staten Island,2023,Earth Science,56.907047,30.800047,337
Staten Island,2023,French,83.16411,100.0,338
Staten Island,2023,Global History and Geography,72.04063,76.041664,339
Staten Island,2023,Italian,73.59375,80.95238,340
Staten Island,2023,Living Environment,71.52971,73.88609,341
Staten Island,2023,Physics,58.394524,43.270588,342
Staten Island,2023,Spanish,79.99501,88.799446,343
Staten Island,2023,US History and Government,72.34375,81.11888,344
